NAME	TYPE	SMILES
1,2-DIMYRISTOYL-SN-GLYCERO-3-PHOSPHOCHOLINE	IIG	CCCCCCCCCCCCCC(=O)OC[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC
PALMITIC_ACID	IIG	CCCCCCCCCCCCCCCC(=O)O
GLYCERYL_PALMITOSTEARATE	IIG	CCCCCCCCCCCCCCCC(=O)O.CCCCCCCCCCCCCCCCCC(=O)O.OCC(O)CO
SUCROSE_PALMITATE	IIG	CCCCCCCCCCCCCCCC(=O)O.OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O
ISOPROPYL_PALMITATE	IIG	CCCCCCCCCCCCCCCC(=O)OC(C)C
Vitamin_A_palmitate	GRAS	CCCCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C
DIPALMITOYLPHOSPHATIDYLGLYCEROL,_DL-	IIG	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)CO)OC(=O)CCCCCCCCCCCCCCC
Ascorbyl_palmitate_(palmitoyl_L-ascorbic)	GRAS	CCCCCCCCCCCCCCCC(=O)OCC(O)C1OC(O)=C(O)C1=O
SORBITAN_MONOPALMITATE	IIG	CCCCCCCCCCCCCCCC(=O)OCC(O)[C@H]1OC[C@@H](O)[C@@H]1O
POLYOXYL_PALMITATE	IIG	CCCCCCCCCCCCCCCC(=O)OCCO
GLYCERYL_PALMITATE	IIG	CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)CO
Aluminum_palmitate_(packaging)	GRAS	CCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCC(=O)[O-].[Al+3]
Sodium_palmitate_(packaging)	GRAS	CCCCCCCCCCCCCCCC(=O)[O-].[Na+]
ETHYLHEXYL_HYDROXYSTEARATE	IIG	CCCCCCCCCCCCCCCCC(O)C(=O)OC(CC)CCCCC
STEARIC_DIETHANOLAMIDE	IIG	CCCCCCCCCCCCCCCCCC(=O)N(CCO)CCO
DIETHYLAMINOETHYL_STEARAMIDE_PHOSPHATE	IIG	CCCCCCCCCCCCCCCCCC(=O)NCCN(CC)CC
STEARAMIDOETHYL_DIETHYLAMINE	IIG	CCCCCCCCCCCCCCCCCC(=O)NCC[NH+](CC)CC.O=P([O-])(O)O
Stearic_acid_(packaging)	GRAS	CCCCCCCCCCCCCCCCCC(=O)O
SUCROSE_STEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)O.OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O
STEAROYL_POLYOXYLGLYCERIDES	IIG	CCCCCCCCCCCCCCCCCC(=O)O.OCCOCC(COCCO)OCCO
METHYL_STEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)OC
ISOPROPYL_STEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)OC(C)C
GLYCERYL_TRISTEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
DISTEAROYLPHOSPHATIDYLCHOLINE,_DL-	IIG	CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC
GLYCERYL_MONOSTEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO
GLYCERYL_DISTEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)OCC(O)COC(=O)CCCCCCCCCCCCCCCCC
SORBITAN_MONOSTEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)OCC(O)[C@H]1OC[C@@H](O)[C@@H]1O
SORBITAN_TRISTEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)OCC(OC(=O)CCCCCCCCCCCCCCCCC)[C@H]1OC[C@@H](O)[C@@H]1OC(=O)CCCCCCCCCCCCCCCCC
BUTYL_STEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)OCCCC
POLYOXYL_40_STEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)OCCO
GLYCOL_DISTEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)OCCOC(=O)CCCCCCCCCCCCCCCCC
PEG-2_STEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)OCCOCCO
1,2-DISTEAROYL-SN-GLYCERO-3-PHOSPHOCHOLINE	IIG	CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC
SUCROSE_DISTEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@]1(OC(=O)CCCCCCCCCCCCCCCCC)[C@@]1(CO)O[C@H](CO)[C@@H](O)[C@@H]1O
METHYL_GLUCOSE_SESQUISTEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].COC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.COC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ALUMINUM_STEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].[Al+3]
Calcium_stearate	GRAS	CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].[Ca+2]
Magnesium_stearate	GRAS	CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].[Mg+2]
ZINC_STEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].[Zn+2]
ALUMINUM_MONOSTEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)[O-].[AlH2+]
SODIUM_STEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)[O-].[Na+]
TRIBEHENIN	IIG	CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC
GLYCERYL_DIBEHENATE	IIG	CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)CO.CCCCCCCCCCCCCCCCCCCCCC(=O)[O-]
HYDROXYOCTACOSANYL_HYDROXYSTEARATE	IIG	CCCCCCCCCCCCCCCCCCCCCCCCCCC(O)COC(=O)CCCCCCCCCCC(O)CCCCCC
DOCOSANOL	IIG	CCCCCCCCCCCCCCCCCCCCCCO
STEARYL_ALCOHOL	IIG	CCCCCCCCCCCCCCCCCCO
CETOSTEARYL_ALCOHOL	IIG	CCCCCCCCCCCCCCCCCCO.CCCCCCCCCCCCCCCCO
SODIUM_STEARYL_FUMARATE	IIG	CCCCCCCCCCCCCCCCCCOC(=O)/C=C/C(=O)[O-].[Na+]
Stearyl_citrate	GRAS	CCCCCCCCCCCCCCCCCCOC(=O)CC(O)(CC(=O)[O-])C(=O)[O-]
PPG-15_STEARYL_ETHER	IIG	CCCCCCCCCCCCCCCCCCOCC(C)O
STEARETH-40	IIG	CCCCCCCCCCCCCCCCCCOCC[O]
SODIUM_CETOSTEARYL_SULFATE	IIG	CCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
STEAROXYTRIMETHYLSILANE	IIG	CCCCCCCCCCCCCCCCCCO[Si](C)(C)C
STEARALKONIUM_CHLORIDE	IIG	CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
QUATERNIUM-52	IIG	CCCCCCCCCCCCCCCCCC[N+](CCOCCO)(CCOCCO)CCOCCO.O=P([O-])([O-])[O-]
CETYL_ALCOHOL	IIG	CCCCCCCCCCCCCCCCO
CETYL_PALMITATE	IIG	CCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCC
ISOCETETH-20	IIG	CCCCCCCCCCCCCCCCOCCO
CETRIMONIUM_CHLORIDE	IIG	CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-]
PALMITAMINE_OXIDE	IIG	CCCCCCCCCCCCCCCC[N+](C)(C)[O-]
CETYLPYRIDINIUM_CHLORIDE	IIG	CCCCCCCCCCCCCCCCn1cc[cH+]cc1.O.[Cl-]
MYRISTYL_ALCOHOL	IIG	CCCCCCCCCCCCCCO
MYRISTYL_LACTATE	IIG	CCCCCCCCCCCCCCOC(=O)C(C)O
ALKYL_ARYL_SODIUM_SULFONATE	IIG	CCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+]
BENZALKONIUM_CHLORIDE	IIG	CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
MIRIPIRIUM_CHLORIDE	IIG	CCCCCCCCCCCCCC[n+]1ccc(C)cc1.[Cl-]
TRIDECETH-10	IIG	CCCCCCCCCCCCCOCCO
LAURYL_LACTATE	IIG	CCCCCCCCCCCCOC(=O)C(C)O
DISODIUM_LAURYL_SULFOSUCCINATE	IIG	CCCCCCCCCCCCOC(=O)CC(C(=O)O)S(=O)(=O)[O-].[Na+]
Dilauryl_thiodipropionate	GRAS	CCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCC
SODIUM_LAURYL_SULFOACETATE	IIG	CCCCCCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+]
LAURETH-4	IIG	CCCCCCCCCCCCOCCO
LAURETH-2	IIG	CCCCCCCCCCCCOCCOCCO
DISODIUM_LAURETH_SULFOSUCCINATE	IIG	CCCCCCCCCCCCOCCOCCOCCOC(=O)CC(C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+]
SODIUM_LAURETH-3_SULFATE	IIG	CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+]
SODIUM_LAURETH-2_SULFATE	IIG	CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+]
SODIUM_LAURETH-5_SULFATE	IIG	CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+]
TRIETHANOLAMINE_LAURYL_SULFATE	IIG	CCCCCCCCCCCCOS(=O)(=O)O.OCCN(CCO)CCO
AMMONIUM_LAURYL_SULFATE	IIG	CCCCCCCCCCCCOS(=O)(=O)[O-].[NH4+]
SODIUM_LAURYL_SULFATE	IIG	CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
SODIUM_DODECYLBENZENESULFONATE	IIG	CCCCCCCCCCCCOS(=O)(=O)c1ccccc1.[Na]
BENZODODECINIUM_BROMIDE	IIG	CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-]
LAURAMINE_OXIDE	IIG	CCCCCCCCCCCC[N+](C)(C)[O-]
DECYL_METHYL_SULFOXIDE	IIG	CCCCCCCCCCS(C)=O
NONOXYNOL-9	IIG	CCCCCCCCCc1ccc(OCCO)cc1
NONOXYNOL_IODINE	IIG	CCCCCCCCCc1ccc(OCCO)cc1.II
AMMONIUM_NONOXYNOL-4_SULFATE	IIG	CCCCCCCCCc1ccc(OCCOS(=O)(=O)[O-])cc1.[NH4+]
GLYCERYL_RICINOLEATE	IIG	CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)OCC(O)CO
HEXYLRESORCINOL	IIG	CCCCCCc1ccc(O)cc1O
AMYL_ACETATE	IIG	CCCCCOC(C)=O
BUTYL_ALCOHOL	IIG	CCCCO
ACETYLTRIBUTYL_CITRATE	IIG	CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC
DIBUTYL_SEBACATE	IIG	CCCCOC(=O)CCCCCCCCC(=O)OCCCC
BUTYLPARABEN	IIG	CCCCOC(=O)c1ccc(O)cc1
DIBUTYL_PHTHALATE_**See_CDER_Guidance:_Limiting_the_Use_of_Certain_Phthalates_as_Excipients_in_CDER-Regulated_Products	IIG	CCCCOC(=O)c1ccccc1C(=O)OCCCC
PRAMOXINE_HYDROCHLORIDE	IIG	CCCCOc1ccc(OCCCN2CCOCC2)cc1.[Cl-].[H+]
Propyl_Gallate	GRAS	CCCOC(=O)c1cc(O)c(O)c(O)c1
Propyl_Paraben	GRAS	CCCOC(=O)c1ccc(O)cc1
PROPYLPARABEN_SODIUM	IIG	CCCOC(=O)c1ccc([O-])cc1.[Na+]
TETRAPROPYL_ORTHOSILICATE	IIG	CCCO[Si](OCCC)(OCCC)OCCC
RHODAMINE_B	IIG	CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1.[Cl-]
SOLVENT_RED_49	IIG	CCN(CC)c1ccc2c(c1)Oc1cc(N(CC)CC)ccc1C21OC(=O)c2ccccc21
FD&C_VIOLET_NO._1--ALUMINUM_LAKE_(DELISTED)	IIG	CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc([C+](c2ccc(N(C)C)cc2)c2ccc(N(CC)Cc3cccc(S(=O)(=O)[O-])c3)cc2)cc1.[Na+]
FD&C_BLUE_NO._1_LAKE	IIG	CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc([C+](c2ccc(N(CC)Cc3cccc(S(=O)(=O)O)c3)cc2)c2ccccc2S(=O)(=O)O)cc1
ACID_BLUE_9_AMMONIUM	IIG	CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc([C+](c2ccc(N(CC)Cc3cccc(S(=O)(=O)[O-])c3)cc2)c2ccccc2S(=O)(=O)[O-])cc1.[NH4+].[NH4+]
GUINEA_GREEN_B	IIG	CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc([C+](c2ccccc2)c2ccc(N(CC)Cc3cccc(S(=O)(=O)[O-])c3)cc2)cc1.[Na+]
POLYURETHANE	IIG	CCNC(N)=O
ALCOHOL,_DILUTED	IIG	CCO
PEG-20_METHYL_GLUCOSE_SESQUISTEARATE	IIG	CCO.COC1O[C@H](CO)[C@@H](OCCCCCCCCCCCCCCCCCC(=O)O)[C@H](O)[C@H]1O
Triethyl_citrate	GRAS	CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC
DIETHYL_SEBACATE	IIG	CCOC(=O)CCCCCCCCC(=O)OCC
DIETHYL_PYROCARBONATE	IIG	CCOC(=O)OC(=O)OCC
ETHYL_VANILLATE	IIG	CCOC(=O)c1ccc(O)c(OC)c1
ETHYLPARABEN	IIG	CCOC(=O)c1ccc(O)cc1
ETHYLPARABEN_SODIUM	IIG	CCOC(=O)c1ccc([O-])cc1.[Na+]
DIETHYL_PHTHALATE	IIG	CCOC(=O)c1ccccc1C(=O)OCC
ETHYL_ACETATE	IIG	CCOC(C)=O
URETHANE	IIG	CCOC(N)=O
Ethyl_formate	GRAS	CCOC=O
ETHYLENE_GLYCOL_MONOETHYL_ETHER	IIG	CCOCCO
DIETHYLENE_GLYCOL_MONOETHYL_ETHER	IIG	CCOCCOCCO
TETROFOSMIN	IIG	CCOCCP(CCOCC)CCP(CCOCC)CCOCC
ETHYL_VANILLIN	IIG	CCOc1cc(C=O)ccc1O
ISOLEUCINE	IIG	CC[C@H](C)[C@H](N)C(=O)O
THIMEROSAL	IIG	CC[Hg]Sc1ccccc1C(=O)[O-].[Na+]
DENATONIUM_BENZOATE	IIG	CC[N+](CC)(CC(=O)Nc1c(C)cccc1C)Cc1ccccc1.O.O=C([O-])c1ccccc1
ETHYL_MALTOL	IIG	CCc1occc(=O)c1O
METHYL_CHLORIDE	IIG	CCl
CHLOROTHEN	IIG	CN(C)CCN(Cc1ccc(Cl)s1)c1ccccn1.O=C(O)CC(O)(CC(=O)O)C(=O)O
TROMANTADINE	IIG	CN(C)CCOCC(=O)NC12CC3CC(CC(C3)C1)C2.[Cl-].[H+]
EPITETRACYCLINE_HYDROCHLORIDE	IIG	CN(C)[C@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.[Cl-].[H+]
METHYLENE_BLUE	IIG	CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.O.O.O.[Cl-]
CREATINE	IIG	CN(CC(=O)O)C(=N)N
TENOX-2	IIG	CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
CREATININE	IIG	CN1CC(=O)N=C1N
METHYLPYRROLIDONE	IIG	CN1CCCC1=O
MORPHINE_SULFATE	IIG	CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5.O.O.O.O.O.O=S(=O)(O)O
SODIUM_COCOYL_SARCOSINATE	IIG	CNCC(=O)[O-].[Na+]
MEGLUMINE	IIG	CNCC(O)C(O)C(O)C(O)CO
METHYL_ALCOHOL	IIG	CO
ASPARTAME	IIG	COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O
NEOTAME	IIG	COC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](CC(=O)O)NCCC(C)(C)C
Methyl_Paraben	GRAS	COC(=O)c1ccc(O)cc1
METHYLPARABEN_SODIUM	IIG	COC(=O)c1ccc([O-])cc1.[Na+]
DIMETHYL_PHTHALATE	IIG	COC(=O)c1ccccc1C(=O)OC
METHYL_SALICYLATE	IIG	COC(=O)c1ccccc1O
DIMETHYL_ISOSORBIDE	IIG	COC1COC2C(OC)COC12
VERSETAMIDE	IIG	COCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCOC)CC(=O)O)CC(=O)O
PEG-7_METHYL_ETHER	IIG	COCCO
METHYL_GLUCETH-20	IIG	CO[C@@H]1O[C@H](COCCO)C(OCCO)C(OCCO)C1OCCO
SIMETHICONE	IIG	CO[Si](C)(C)O[Si](C)(C)C.O=[Si]=O
VANILLIN	IIG	COc1cc(C=O)ccc1O
FD&C_RED_NO._40	IIG	COc1cc(S(=O)(=O)[O-])c(C)cc1N/N=C1/C(=O)C=Cc2cc(S(=O)(=O)[O-])ccc21.[Na+].[Na+]
NEOHESPERIDIN_DIHYDROCHALONE	IIG	COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)cc2O)cc1O
Butylated_Hydroxyanisole_(BHA)	GRAS	COc1ccc(O)c(C(C)(C)C)c1
METHANESULFONIC_ACID	IIG	CS(=O)(=O)O
DIMETHYL_SULFOXIDE	IIG	CS(C)=O
METHIONINE	IIG	CSCCC(N)C(=O)O
Glycocholic_acid	GRAS	C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O
Taurocholic_acid	GRAS	C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O
Desoxycholic_acid	GRAS	C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C
URSODIOL	IIG	C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
Cholic_acid	GRAS	C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O
SODIUM_DESOXYCHOLATE	IIG	C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C.[Na+]
L(+)-lactic_acid	GRAS	C[C@H](O)C(=O)O
Choline_Bitartrate	GRAS	C[N+](C)(C)CCO.O=C([O-])[C@H](O)[C@@H](O)C(=O)O
Choline_Chloride	GRAS	C[N+](C)(C)CCO.[Cl-]
POLIDRONIUM_CHLORIDE	IIG	C[N+](C)(C/C=C/C[N+](CCO)(CCO)CCO)C/C=C/C[N+](CCO)(CCO)CCO.[Cl-].[Cl-].[Cl-]
DIMETHICONE_350	IIG	C[Si](C)(C)O[Si](C)(C)C
CYCLOMETHICONE_5	IIG	C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1
CARMINE	IIG	Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c(O)c1C2=O
.ALPHA.-TOCOPHEROL,_DL-	IIG	Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
TOCOPHERSOLAN	IIG	Cc1c(C)c2c(c(C)c1OC(=O)CCC(=O)OCCO)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2
Tocopherols	GRAS	Cc1c(O)cc2c(c1C)OC(C)(CCCC(C)CCCC(C)CCCC(C)C)CC2
ANTIPYRINE	IIG	Cc1cc(=O)n(-c2ccccc2)n1C
Butylated_Hydroxytoluene_(BHT)	GRAS	Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
PONCEAU_3R	IIG	Cc1cc(C)c(N/N=C2/C(=O)C(S(=O)(=O)[O-])=Cc3cc(S(=O)(=O)[O-])ccc32)cc1C.[Na+].[Na+]
FD&C_RED_NO._4	IIG	Cc1cc(C)c(S(=O)(=O)[O-])cc1N/N=C1\C=C(S(=O)(=O)[O-])c2ccccc2C1=O.[Na+].[Na+]
D&C_RED_NO._30	IIG	Cc1cc(Cl)cc2c1C(=O)/C(=C1/Sc3cc(Cl)cc(C)c3C1=O)S2
CHLOROXYLENOL	IIG	Cc1cc(O)cc(C)c1Cl
CHLOROCRESOL	IIG	Cc1cc(O)ccc1Cl
Riboflavin	GRAS	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C
Riboflavin-5'-phosphate	GRAS	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)COP(=O)(O)O)c2cc1C
THYMOL	IIG	Cc1ccc(C(C)C)c(O)c1
D&C_RED_NO._6	IIG	Cc1ccc(N/N=C2/C(=O)C(C(=O)[O-])=Cc3ccccc32)c(S(=O)(=O)[O-])c1.[Na+].[Na+]
PONCEAU_XYLIDINE	IIG	Cc1ccc(N/N=C2/C(=O)C(S(=O)(=O)[O-])=Cc3ccc(S(=O)(=O)[O-])cc32)c(C)c1.[Na+].[Na+]
